"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"1",184961804,"July",9,2018,19:35:00,"BRONX",44,0,NA,TRUE,NA,NA,NA,"45-64","M","BLACK",1007096,242091,40.8311379900001,-73.917446032,"POINT (-73.91744603199999 40.83113799000006)",10456
"2",188192908,"September",28,2018,02:32:00,"QUEENS",113,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1046199.375,189795.8125,40.6874138540001,-73.776625881,"POINT (-73.77662588099997 40.687413854000056)",11434
"3",183190786,"May",27,2018,18:15:00,"BRONX",40,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1007726,238645,40.821678052,-73.915181546,"POINT (-73.91518154599999 40.82167805200004)",10451
"4",175773152,"March",12,2018,03:40:00,"QUEENS",102,0,"PVT HOUSE",FALSE,"25-44","M","BLACK","25-44","F","AMERICAN INDIAN/ALASKAN NATIVE",1031922.75,190474.53125,40.6893651870001,-73.8280992369999,"POINT (-73.82809923699995 40.68936518700008)",11419
"5",184699355,"July",3,2018,00:13:00,"BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","F","BLACK",1010281.375,182200.40625,40.6667447020001,-73.906167309,"POINT (-73.90616730899995 40.666744702000074)",11212
"6",174579221,"February",9,2018,00:12:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1008788.9375,177637.09375,40.65422368,-73.9115636339999,"POINT (-73.91156363399995 40.65422368000003)",11212
"7",184396807,"June",23,2018,04:18:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1001334.625,179794.484375,40.660162762,-73.938423342,"POINT (-73.93842334199996 40.66016276200003)",11203
"8",186606591,"August",19,2018,21:55:00,"BRONX",43,0,NA,FALSE,"25-44","F","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1017605.6875,241640.828125,40.829868961,-73.87947091,"POINT (-73.87947090999995 40.829868961000045)",10472
"9",173528070,"January",11,2018,21:20:00,"QUEENS",103,0,"LIQUOR STORE",FALSE,"<18","M","BLACK","18-24","M","BLACK",1042620.0625,192258.515625,40.6941977160001,-73.789510692,"POINT (-73.78951069199996 40.694197716000076)",11433
"10",178830276,"May",1,2018,11:00:00,"BRONX",52,0,NA,TRUE,"25-44","F","BLACK","25-44","M","BLACK",1018899.1875,259203.5625,40.8780684160001,-73.874706091,"POINT (-73.87470609099995 40.878068416000076)",10467
