"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","new_georeferenced_column","zipcode"
"469",232931111,"August",31,2021,00:55:00,"QUEENS",103,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1047133,196694,40.706341131,-73.773195054,"POINT (-73.77319505399998 40.706341131000045)",11423
"470",231965060,"August",7,2021,23:18:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1013807,180663,40.662513797,-73.893465398,"POINT (-73.893465398 40.66251379700003)",11207
"471",224817846,"February",24,2021,20:17:00,"BRONX",46,0,NA,FALSE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK",1009301,248633,40.8490878910001,-73.909453699,"POINT (-73.90945369899998 40.84908789100007)",10453
"472",233769246,"September",19,2021,01:30:00,"MANHATTAN",32,0,"GROCERY/BODEGA",FALSE,NA,NA,NA,"18-24","M","BLACK",1000257,238942,40.822509924,-73.9421666809999,"POINT (-73.94216668099993 40.82250992400003)",10039
"473",230234499,"June",29,2021,19:40:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"<18","M","BLACK",1000345,230119,40.7982930800001,-73.941869883,"POINT (-73.94186988299998 40.798293080000064)",10029
"474",228564725,"May",23,2021,02:16:00,"MANHATTAN",34,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",1007122,253832,40.863363501,-73.917312032,"POINT (-73.91731203199998 40.86336350100004)",10034
"475",228759414,"May",27,2021,04:03:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1014776,177854,40.6548004260001,-73.8899854269999,"POINT (-73.88998542699994 40.65480042600007)",11207
"476",231633080,"July",30,2021,09:50:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1041907,194067,40.699166247,-73.7920666059999,"POINT (-73.79206660599993 40.69916624700004)",11433
"477",233502665,"September",13,2021,15:50:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","BLACK","25-44","F","BLACK",1018075,179398,40.6590263780001,-73.878088068,"POINT (-73.87808806799995 40.65902637800008)",11207
"478",232193235,"August",13,2021,01:00:00,"QUEENS",109,0,"BAR/NIGHT CLUB",TRUE,"18-24","M","BLACK","18-24","M","BLACK",1031552,216518,40.7608500490001,-73.829253066,"POINT (-73.82925306599996 40.760850049000055)",11354
"479",226597465,"April",6,2021,13:48:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK",999282,192769,40.695778596,-73.945792677,"POINT (-73.94579267699999 40.695778596000025)",11206
"480",225601138,"March",12,2021,20:25:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","BLACK",995686,175156,40.6474402310001,-73.958790537,"POINT (-73.95879053699997 40.64744023100008)",11226
"481",229943472,"June",22,2021,20:17:00,"BROOKLYN",94,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","45-64","M","WHITE HISPANIC",1001768,200786,40.7177787960001,-73.93680675,"POINT (-73.93680674999997 40.71777879600006)",11211
"482",223505104,"January",23,2021,17:40:00,"BROOKLYN",75,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1021290,184416,40.672786795,-73.866472889,"POINT (-73.86647288899997 40.672786795000036)",11208
"483",230448315,"July",4,2021,19:00:00,"BROOKLYN",79,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",998083,191219,40.6915261600001,-73.9501197229999,"POINT (-73.95011972299993 40.69152616000007)",11206
"484",230788300,"July",13,2021,01:28:00,"BROOKLYN",63,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1003865,168110,40.62808613,-73.929337088,"POINT (-73.92933708799995 40.628086130000035)",11234
"485",228918108,"May",31,2021,16:47:00,"QUEENS",105,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1052592,186622,40.678655443,-73.753607813,"POINT (-73.75360781299997 40.678655443000025)",11413
"486",228563311,"May",22,2021,06:35:00,"BRONX",46,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1009177,249329,40.850998555,-73.909899314,"POINT (-73.90989931399997 40.85099855500005)",10453
"487",226738465,"April",9,2021,20:23:00,"BROOKLYN",76,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",981170,185772,40.676585657,-74.011105419,"POINT (-74.011105419 40.67658565700003)",11231
"488",231325838,"July",23,2021,16:24:00,"BRONX",52,0,NA,FALSE,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",1012469,255375,40.867583094,-73.897974475,"POINT (-73.89797447499996 40.86758309400005)",10468
"489",231005014,"July",17,2021,04:43:00,"MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","F","BLACK",996279,235478,40.8130085290001,-73.9565457689999,"POINT (-73.95654576899994 40.81300852900005)",NA
"490",226478359,"April",3,2021,18:00:00,"BROOKLYN",84,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",988466,194673,40.7010163950001,-73.984796409,"POINT (-73.98479640899996 40.701016395000075)",11201
"491",227344442,"April",24,2021,23:31:00,"BROOKLYN",76,0,NA,FALSE,NA,NA,NA,"25-44","F","BLACK",982485,188085,40.682934679,-74.006365205,"POINT (-74.00636520499995 40.68293467900003)",112321
"492",227647471,"May",2,2021,06:00:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",999446,171582,40.6376247160001,-73.945249009,"POINT (-73.94524900899995 40.63762471600006)",11210
"493",229493101,"June",11,2021,17:53:00,"MANHATTAN",28,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","F","BLACK",997875,230878,40.800380481,-73.950789433,"POINT (-73.95078943299995 40.80038048100005)",10026
"494",229848439,"June",20,2021,23:14:00,"QUEENS",101,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1053356,155686,40.593737112,-73.751170197,"POINT (-73.75117019699996 40.59373711200004)",11691
"495",226500708,"April",4,2021,23:20:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1002397,189963,40.688070936,-73.934566849,"POINT (-73.93456684899996 40.68807093600003)",11221
"496",224354730,"February",12,2021,05:15:00,"BRONX",43,0,NA,FALSE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK",1018728,242744,40.8328925390001,-73.875409777,"POINT (-73.87540977699997 40.832892539000056)",10472
"497",230713947,"July",9,2021,03:45:00,"QUEENS",110,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1015799,208304,40.738374951,-73.886155908,"POINT (-73.88615590799998 40.738374951000026)",11373
"498",227089753,"April",18,2021,12:30:00,"BRONX",47,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","BLACK",1021934,259599,40.8791413320001,-73.8637296599999,"POINT (-73.86372965999993 40.87914133200008)",10467
"499",225602527,"March",14,2021,00:00:00,"MANHATTAN",33,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1000580,245160,40.8395759580001,-73.9409845169999,"POINT (-73.94098451699995 40.83957595800007)",10031
"500",224465519,"February",16,2021,15:44:00,"QUEENS",101,0,NA,FALSE,"25-44","M","BLACK","25-44","F","BLACK HISPANIC",1051960,160392,40.6066648550001,-73.756149603,"POINT (-73.75614960299998 40.606664855000076)",11691
"501",225601140,"March",13,2021,03:50:00,"BROOKLYN",90,0,"BAR/NIGHT CLUB",FALSE,"18-24","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",1001951,195081,40.7021195610001,-73.936161591,"POINT (-73.93616159099997 40.70211956100008)",11206
"502",229700090,"June",17,2021,13:51:00,"BROOKLYN",72,0,NA,FALSE,"25-44","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",981369,173656,40.6433299670001,-74.010382809,"POINT (-74.01038280899996 40.64332996700006)",11220
"503",231325837,"July",24,2021,21:57:00,"BROOKLYN",67,0,"BEAUTY/NAIL SALON",FALSE,"18-24","F","BLACK","45-64","M","BLACK",1000204,173775,40.6436426980001,-73.9425126899999,"POINT (-73.94251268999993 40.64364269800007)",11203
"504",228890262,"May",28,2021,02:56:00,"MANHATTAN",32,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1001404,240417,40.826556227,-73.9380186939999,"POINT (-73.93801869399994 40.82655622700002)",10039
"505",232263465,"August",13,2021,01:35:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1009588,249449,40.8513267490001,-73.908413245,"POINT (-73.90841324499998 40.85132674900007)",10453
"506",227987579,"May",10,2021,07:53:00,"BROOKLYN",79,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",999792,188337,40.6836128950001,-73.943963727,"POINT (-73.94396372699998 40.683612895000074)",11221
"507",227950638,"May",5,2021,18:17:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",1017061,246371,40.8428539440001,-73.881415994,"POINT (-73.88141599399995 40.84285394400007)",10460
"508",232331294,"August",16,2021,00:30:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1014905,185861,40.6767774040001,-73.889484104,"POINT (-73.88948410399996 40.67677740400006)",11207
"509",232862316,"August",27,2021,12:28:00,"BRONX",50,0,NA,FALSE,"25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",1010984,261034,40.8831199200001,-73.9033209689999,"POINT (-73.90332096899994 40.88311992000007)",10463
"510",227221494,"April",21,2021,17:14:00,"QUEENS",105,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1054111,196968,40.707040852,-73.748024093,"POINT (-73.74802409299997 40.707040852000034)",11429
"511",224354731,"February",14,2021,02:05:00,"QUEENS",107,0,"BAR/NIGHT CLUB",FALSE,"25-44","M","BLACK","25-44","M","BLACK HISPANIC",1043880,198892,40.712396622,-73.784908458,"POINT (-73.78490845799998 40.71239662200002)",11427
"512",224949527,"February",26,2021,13:15:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1019639,184384,40.672705716,-73.872424874,"POINT (-73.87242487399999 40.672705716000046)",11208
"513",224954558,"February",27,2021,22:30:00,"MANHATTAN",10,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","25-44","M","BLACK",985774,214976,40.756744052,-73.9945005339999,"POINT (-73.99450053399994 40.756744052000045)",10018
"514",230805643,"July",13,2021,20:00:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1018491,183591,40.6705336250001,-73.876567412,"POINT (-73.87656741199999 40.670533625000076)",11208
"515",229507547,"June",13,2021,16:21:00,"BROOKLYN",83,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1006629,195430,40.7030668900001,-73.919288917,"POINT (-73.91928891699997 40.70306689000005)",11237
"516",230448646,"July",4,2021,22:15:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1026596,236961,40.8169856480001,-73.8470140709999,"POINT (-73.84701407099993 40.81698564800007)",10473
"517",229822598,"June",19,2021,03:12:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1001374,239100,40.8229414950001,-73.938130455,"POINT (-73.93813045499998 40.82294149500007)",10039
"518",227344209,"April",24,2021,19:08:00,"BRONX",49,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1027324,255713,40.868450813,-73.8442635179999,"POINT (-73.84426351799993 40.86845081300004)",10469
"519",226204062,"March",27,2021,15:27:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","45-64","M","BLACK",1001774,193874,40.6988069810001,-73.936803094,"POINT (-73.93680309399997 40.69880698100008)",11206
"520",228586949,"May",23,2021,22:13:00,"MANHATTAN",28,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",997123,233286,40.806990908,-73.953500957,"POINT (-73.95350095699997 40.806990908000046)",10027
"521",227000638,"April",15,2021,12:25:00,"BRONX",47,0,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK HISPANIC",1021782,256462,40.87053189,-73.8642968899999,"POINT (-73.86429688999993 40.870531890000045)",10467
"522",225663031,"March",15,2021,17:25:00,"BROOKLYN",73,0,"RESTAURANT/DINER",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1008883,183248,40.669624113,-73.911204138,"POINT (-73.91120413799997 40.66962411300005)",11212
"523",225909567,"March",19,2021,00:20:00,"BROOKLYN",75,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","BLACK",1014073,180759,40.6627764040001,-73.8925061959999,"POINT (-73.89250619599994 40.662776404000056)",11207
"524",232264784,"August",13,2021,15:50:00,"BROOKLYN",83,0,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1009950,192049,40.693777815,-73.9073242429999,"POINT (-73.90732424299993 40.69377781500003)",11237
"525",230162219,"June",25,2021,23:10:00,"BRONX",52,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1013115,255492,40.8679021340001,-73.895638333,"POINT (-73.89563833299998 40.867902134000076)",10468
