"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"807",165252468,"May",27,2017,14:40:00,"STATEN ISLAND",120,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",952517,172394.578125,40.6398112530001,-74.11434181,"POINT (-74.11434180999998 40.63981125300006)",10310
"808",166660833,"June",30,2017,14:54:00,"BRONX",44,0,"HOSPITAL",FALSE,"45-64","M","BLACK","25-44","M","UNKNOWN",1008668.75,246692.140625,40.843762575,-73.911746056,"POINT (-73.91174605599997 40.84376257500003)",10453
"809",167265736,"July",21,2017,00:42:00,"BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1010466.5625,243220.21875,40.834228008,-73.905261893,"POINT (-73.90526189299999 40.834228008000025)",10456
"810",161970800,"February",15,2017,18:20:00,"QUEENS",106,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1038592.875,186508.34375,40.678440492,-73.804079631,"POINT (-73.80407963099998 40.67844049200005)",11420
"811",168780021,"September",5,2017,01:30:00,"BRONX",52,0,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1014004,255759,40.8686320150001,-73.892422919,"POINT (-73.89242291899996 40.86863201500006)",10458
"812",165146995,"May",24,2017,17:16:00,"MANHATTAN",28,0,NA,FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",996015.375,232677.78125,40.80532306,-73.9575030409999,"POINT (-73.95750304099994 40.805323060000035)",10026
"813",168306280,"August",20,2017,13:06:00,"STATEN ISLAND",120,0,NA,FALSE,"18-24","M","BLACK","45-64","M","WHITE",960238,173392,40.6425732600001,-74.0865250689999,"POINT (-74.08652506899995 40.64257326000006)",10301
"814",171866986,"November",21,2017,22:25:00,"BROOKLYN",75,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","25-44","F","BLACK",1018108.875,174057.375,40.6443674070001,-73.877992784,"POINT (-73.87799278399996 40.64436740700006)",11239
"815",163703968,"April",11,2017,17:00:00,"BRONX",48,0,NA,TRUE,"18-24","M","BLACK","18-24","M","BLACK",1015598,247912,40.847088849,-73.886696356,"POINT (-73.88669635599996 40.847088849000045)",10457
"816",170368033,"October",13,2017,13:53:00,"QUEENS",113,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1051575.5,184406.53125,40.6725822920001,-73.7572947159999,"POINT (-73.75729471599993 40.67258229200007)",11413
"817",164956773,"May",19,2017,14:17:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",1041650.75,193992.171875,40.698962527,-73.792991383,"POINT (-73.79299138299996 40.69896252700005)",11433
"818",172950617,"December",25,2017,22:50:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","18-24","M","WHITE HISPANIC",996291.5625,167685.015625,40.6269331680001,-73.956621657,"POINT (-73.95662165699997 40.62693316800005)",11210
"819",165387255,"May",30,2017,23:54:00,"QUEENS",109,0,NA,TRUE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1038598.625,216816.15625,40.761627902,-73.803814183,"POINT (-73.80381418299999 40.76162790200004)",11358
"820",164337368,"May",1,2017,22:55:00,"BROOKLYN",69,0,NA,FALSE,"45-64","M","BLACK","25-44","M","BLACK",1014348,170816,40.63548411,-73.8915593409999,"POINT (-73.89155934099996 40.63548411000005)",11236
"821",166886659,"July",7,2017,05:30:00,"MANHATTAN",26,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",997128.875,237011.671875,40.817216833,-73.953472588,"POINT (-73.95347258799995 40.81721683300003)",10027
"822",161591964,"February",3,2017,16:45:00,"BRONX",40,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK HISPANIC",1003813,235345,40.8126300120001,-73.929329014,"POINT (-73.92932901399996 40.81263001200006)",10454
"823",168608859,"August",29,2017,20:31:00,"BRONX",52,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",1017306,260717,40.8822284390001,-73.8804597609999,"POINT (-73.88045976099994 40.88222843900007)",10467
"824",166352785,"June",23,2017,04:40:00,"BROOKLYN",75,0,NA,TRUE,"25-44","M","BLACK","18-24","F","BLACK",1017382.75,181173.234375,40.6639016180001,-73.880574376,"POINT (-73.88057437599997 40.66390161800007)",11208
"825",160149420,"January",11,2017,02:30:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1020544.3125,239892.484375,40.825058674,-73.8688616809999,"POINT (-73.86886168099994 40.82505867400005)",10472
"826",161311799,"January",27,2017,19:40:00,"MANHATTAN",32,0,NA,FALSE,"25-44","M","BLACK","45-64","M","BLACK",1001610,241367,40.8291633040001,-73.9372718939999,"POINT (-73.93727189399993 40.829163304000076)",10039
"827",162744792,"March",12,2017,19:57:00,"QUEENS",108,0,"MULTI DWELL - APT BUILD",FALSE,"45-64","M","BLACK HISPANIC","45-64","F","BLACK HISPANIC",1010161.5,208129.109375,40.737913232,-73.906499657,"POINT (-73.90649965699998 40.73791323200004)",11377
"828",161044943,"January",25,2017,15:54:00,"BRONX",43,0,NA,FALSE,"18-24","M","BLACK","<18","M","WHITE HISPANIC",1017970.25,243163.296875,40.8340463120001,-73.878145914,"POINT (-73.87814591399996 40.834046312000055)",10472
"829",160509029,"January",21,2017,21:35:00,"BROOKLYN",67,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"<18","M","BLACK",999009.625,171975.734375,40.6387061710001,-73.946820443,"POINT (-73.94682044299998 40.63870617100008)",11226
"830",167036160,"July",13,2017,19:00:00,"BROOKLYN",67,0,NA,TRUE,"<18","M","BLACK","18-24","M","BLACK",1007178,176702,40.6516613700001,-73.917372594,"POINT (-73.91737259399997 40.651661370000056)",11236
"831",161746539,"February",8,2017,17:00:00,"BRONX",52,0,NA,FALSE,"18-24","M","BLACK HISPANIC","<18","M","WHITE",1013846.625,254492.046875,40.8651551450001,-73.892997518,"POINT (-73.89299751799996 40.865155145000074)",10458
"832",166585772,"June",30,2017,00:11:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1021188.875,239208.734375,40.8231793040001,-73.866536496,"POINT (-73.86653649599998 40.823179304000064)",10473
"833",169180189,"September",10,2017,12:39:00,"BROOKLYN",73,0,NA,FALSE,"25-44","M","BLACK","18-24","F","BLACK",1006995.3125,185257.578125,40.6751450030001,-73.918002109,"POINT (-73.91800210899999 40.67514500300007)",11233
"834",172915171,"December",23,2017,14:15:00,"BRONX",40,0,NA,FALSE,NA,NA,NA,"45-64","M","WHITE HISPANIC",1006155.5625,235986.140625,40.814384266,-73.920864287,"POINT (-73.92086428699997 40.81438426600005)",10451
"835",159826972,"January",1,2017,01:55:00,"BROOKLYN",60,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",985599.5625,148459.15625,40.5741701530001,-73.995143474,"POINT (-73.99514347399997 40.57417015300007)",11224
"836",164301441,"April",28,2017,12:29:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","18-24","M","BLACK",1000630.125,197598.203125,40.7090312340001,-73.9409192919999,"POINT (-73.94091929199993 40.709031234000065)",11206
"837",160231032,"January",13,2017,04:00:00,"BRONX",44,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","18-24","F","WHITE HISPANIC",1005508.1875,240120.890625,40.825734568,-73.923189929,"POINT (-73.92318992899999 40.82573456800003)",10451
"838",165264183,"May",27,2017,03:25:00,"MANHATTAN",6,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",983190,208988.171875,40.740309037,-74.0038266,"POINT (-74.00382659999997 40.74030903700003)",10011
"839",159842970,"January",2,2017,03:22:00,"QUEENS",106,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1034281.9375,189498.296875,40.6866726320001,-73.8195995629999,"POINT (-73.81959956299994 40.68667263200007)",11419
"840",172750202,"December",18,2017,18:25:00,"QUEENS",101,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","WHITE HISPANIC","18-24","M","BLACK",1051959.625,160391.78125,40.6066642580001,-73.756150955,"POINT (-73.75615095499995 40.60666425800008)",11691
"841",168528141,"August",25,2017,19:30:00,"BROOKLYN",71,0,"RESTAURANT/DINER",FALSE,NA,NA,NA,"25-44","M","BLACK",997574.3125,183029.234375,40.669047891,-73.9519702379999,"POINT (-73.95197023799994 40.66904789100005)",11225
"842",166886663,"July",9,2017,00:09:00,"BRONX",44,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",1008646.75,242366.875,40.8318910400001,-73.911841301,"POINT (-73.91184130099998 40.83189104000007)",10456
"843",164351223,"May",2,2017,09:41:00,"BROOKLYN",69,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1013834.375,171914.46875,40.638500902,-73.893405098,"POINT (-73.89340509799996 40.63850090200003)",11236
"844",170436085,"October",13,2017,22:10:00,"BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","18-24","M","BLACK",1009695.25,243534.765625,40.8350936040001,-73.908048013,"POINT (-73.90804801299998 40.835093604000065)",10456
"845",164731319,"May",12,2017,14:55:00,"BROOKLYN",81,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1000753.75,192579.75,40.695256527,-73.940485681,"POINT (-73.94048568099998 40.695256527000026)",11206
"846",169080197,"September",7,2017,15:00:00,"QUEENS",105,0,NA,FALSE,"25-44","F","BLACK","25-44","M","BLACK",1057080.625,184969.953125,40.6740851750001,-73.737442906,"POINT (-73.73744290599997 40.67408517500007)",11413
"847",167619815,"July",31,2017,23:47:00,"BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK",1009629,243066.703125,40.8338090990001,-73.908289195,"POINT (-73.90828919499995 40.833809099000064)",10456
"848",161657603,"February",6,2017,13:39:00,"STATEN ISLAND",121,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",936721.6875,172119.4375,40.6389853750001,-74.1712534329999,"POINT (-74.17125343299995 40.63898537500006)",10303
"849",163631340,"April",8,2017,12:13:00,"BRONX",50,0,"JEWELRY STORE",FALSE,"25-44","M","BLACK","45-64","M","WHITE",1009041.5,261571.046875,40.8845996150001,-73.9103438079999,"POINT (-73.91034380799994 40.88459961500007)",10463
"850",168608860,"August",29,2017,21:09:00,"BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","18-24","M","BLACK",1010725.125,238488.1875,40.8212391670001,-73.9043461919999,"POINT (-73.90434619199993 40.821239167000044)",10456
"851",171254024,"November",3,2017,17:32:00,"QUEENS",113,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1050813.875,184018.34375,40.6715225670001,-73.760044174,"POINT (-73.76004417399999 40.67152256700007)",11413
"852",165378832,"May",31,2017,22:01:00,"BRONX",52,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1010728.3125,252491.078125,40.859672996,-73.904279392,"POINT (-73.90427939199998 40.85967299600003)",10468
"853",162278800,"February",24,2017,15:26:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1001645.8125,192168.734375,40.6941266760001,-73.9372697909999,"POINT (-73.93726979099995 40.69412667600005)",11206
