"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"1",149455199,"January",17,2016,00:08:00,"BROOKLYN",72,0,NA,FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",982275.8125,175427.71875,40.6481932020001,-74.007115728,"POINT (-74.00711572799997 40.64819320200007)",11220
"2",151902140,"April",6,2016,19:44:00,"MANHATTAN",25,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"45-64","M","BLACK",1001755.9375,233152.75,40.8066172090001,-73.9367659819999,"POINT (-73.93676598199994 40.80661720900008)",10035
"3",156442532,"September",5,2016,06:47:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",997703.5625,178036.734375,40.655344386,-73.951514281,"POINT (-73.95151428099996 40.655344386000024)",11226
"4",154563859,"July",3,2016,23:55:00,"QUEENS",103,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK HISPANIC",1040616.8125,192273.703125,40.694252388,-73.796734543,"POINT (-73.79673454299996 40.69425238800005)",11433
"5",158090348,"October",31,2016,22:25:00,"BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1002407.5625,185867.0625,40.6768284980001,-73.9345398,"POINT (-73.93453979999998 40.67682849800008)",11213
"6",150911774,"March",4,2016,04:51:00,"QUEENS",114,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1004086.5,213799.265625,40.753492099,-73.928404594,"POINT (-73.92840459399999 40.75349209900003)",11106
"7",151747520,"April",1,2016,17:22:00,"BROOKLYN",84,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","BLACK","<18","M","BLACK",989326.6875,194191.53125,40.699694423,-73.981692697,"POINT (-73.98169269699997 40.69969442300004)",11201
"8",157251491,"October",3,2016,12:54:00,"MANHATTAN",33,0,NA,TRUE,"25-44","M","BLACK","25-44","M","WHITE",1001888.625,245600.65625,40.840782915,-73.9362539639999,"POINT (-73.93625396399995 40.840782915000034)",10032
"9",155577957,"August",7,2016,22:02:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1021889,181921.25,40.6659367440001,-73.864327437,"POINT (-73.86432743699999 40.66593674400008)",11208
"10",153210053,"May",18,2016,19:35:00,"BROOKLYN",67,0,NA,TRUE,NA,NA,NA,"65+","M","BLACK",998235.125,173191.25,40.6420437580001,-73.949608556,"POINT (-73.94960855599999 40.64204375800006)",11226
"11",151586091,"March",26,2016,00:05:00,"STATEN ISLAND",121,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",944327,170618.21875,40.634902401,-74.143841466,"POINT (-74.14384146599997 40.63490240100003)",10302
"12",157656720,"October",17,2016,00:36:00,"MANHATTAN",34,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1006233.3125,253436.234375,40.862279501,-73.9205262099999,"POINT (-73.92052620999993 40.862279501000046)",10034
"13",152535322,"April",27,2016,07:30:00,"BRONX",48,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","WHITE HISPANIC","25-44","F","BLACK",1017838.5,247121.640625,40.8449113080001,-73.878602198,"POINT (-73.87860219799995 40.844911308000064)",10460
"14",154563862,"July",4,2016,01:02:00,"BROOKLYN",61,0,"RESTAURANT/DINER",FALSE,"18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",990635.125,156620.609375,40.596569528,-73.9770094579999,"POINT (-73.97700945799994 40.59656952800003)",11223
"15",158669665,"November",20,2016,12:30:00,"BRONX",41,0,NA,TRUE,"18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1014179.25,239452.828125,40.8238758030001,-73.8918620649999,"POINT (-73.89186206499994 40.82387580300008)",10459
"16",156163204,"August",26,2016,01:59:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",995293.875,176595.140625,40.6513908580001,-73.960201248,"POINT (-73.96020124799998 40.65139085800007)",11226
"17",156246450,"August",28,2016,05:57:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1001420.75,241474.640625,40.8294591170001,-73.937955465,"POINT (-73.93795546499996 40.829459117000056)",10039
"18",150273223,"February",10,2016,20:15:00,"BROOKLYN",67,0,"SOCIAL CLUB/POLICY LOCATI",FALSE,NA,NA,NA,"45-64","M","BLACK",1002624.375,176672.921875,40.6515921760001,-73.933783203,"POINT (-73.93378320299996 40.651592176000065)",11203
"19",156435424,"September",5,2016,03:49:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"65+","F","BLACK",994673,180873,40.663133397,-73.962432161,"POINT (-73.96243216099998 40.663133397000024)",11225
"20",157639146,"October",16,2016,00:49:00,"MANHATTAN",13,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",985716.0625,209910.578125,40.742840755,-73.9947107639999,"POINT (-73.99471076399993 40.74284075500003)",10011
"21",154584999,"July",5,2016,00:08:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",994817.125,176397.359375,40.6508485730001,-73.961919682,"POINT (-73.96191968199997 40.650848573000076)",11226
"22",155711532,"August",12,2016,00:51:00,"BROOKLYN",83,0,NA,TRUE,"18-24","M","BLACK","18-24","M","BLACK",1009752,190911,40.6906548420001,-73.9080425619999,"POINT (-73.90804256199993 40.69065484200007)",11207
"23",156246003,"August",28,2016,01:40:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1015828.8125,179159.546875,40.6583801720001,-73.886184971,"POINT (-73.88618497099998 40.65838017200008)",11207
"24",151695536,"March",30,2016,23:32:00,"MANHATTAN",30,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","<18","M","BLACK HISPANIC",996958.75,237593.984375,40.8188153630001,-73.954086113,"POINT (-73.95408611299996 40.818815363000056)",10031
"25",153129425,"May",16,2016,21:00:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1052143,197039.71875,40.707253021,-73.755121591,"POINT (-73.75512159099999 40.70725302100004)",11412
"26",155849644,"August",16,2016,22:24:00,"BROOKLYN",67,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1005554,179416,40.6591147610001,-73.923216654,"POINT (-73.92321665399999 40.65911476100007)",11212
"27",150165508,"February",6,2016,19:13:00,"BRONX",40,0,NA,FALSE,NA,NA,NA,"<18","M","WHITE HISPANIC",1005759.5,237459.296875,40.818428639,-73.9222904009999,"POINT (-73.92229040099994 40.81842863900005)",10451
"28",151113817,"March",10,2016,23:18:00,"BRONX",44,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",1007674.6875,242091.625,40.83113819,-73.915354908,"POINT (-73.91535490799998 40.83113819000005)",10456
"29",149092535,"January",5,2016,22:32:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",999125.875,235492.90625,40.813045109,-73.946261184,"POINT (-73.94626118399998 40.81304510900003)",10027
"30",157629230,"October",14,2016,23:30:00,"BRONX",40,0,NA,FALSE,"25-44","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC",1007493.125,237317.546875,40.8180351840001,-73.9160275309999,"POINT (-73.91602753099994 40.81803518400005)",10455
"31",158783523,"November",25,2016,04:44:00,"MANHATTAN",33,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","18-24","M","BLACK",1002521.9375,247218.859375,40.8452231210001,-73.9339607109999,"POINT (-73.93396071099994 40.84522312100006)",10033
"32",154585001,"July",4,2016,23:45:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"18-24","F","WHITE HISPANIC",1009256,174504,40.6456227150001,-73.909891968,"POINT (-73.90989196799995 40.64562271500006)",11236
"33",149347432,"January",13,2016,14:48:00,"BROOKLYN",75,0,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK",1013646,181481,40.66475956,-73.894042144,"POINT (-73.89404214399997 40.66475956000005)",11207
"34",152216263,"April",16,2016,05:45:00,"QUEENS",113,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1048715.5,195663.453125,40.703501144,-73.767497185,"POINT (-73.76749718499997 40.70350114400003)",11412
"35",155775753,"August",13,2016,02:28:00,"QUEENS",102,0,NA,FALSE,"25-44","M","BLACK","18-24","M","WHITE HISPANIC",1028185,192614.78125,40.6952590140001,-73.841563126,"POINT (-73.84156312599998 40.695259014000044)",11418
"36",156246456,"August",29,2016,00:25:00,"STATEN ISLAND",120,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",961579.875,163524.21875,40.6154918230001,-74.081656681,"POINT (-74.08165668099997 40.61549182300007)",10304
"37",157656573,"October",16,2016,23:33:00,"QUEENS",105,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1052611.5,182537.28125,40.667443699,-73.753578938,"POINT (-73.75357893799998 40.667443699000046)",11413
"38",155552962,"August",5,2016,19:58:00,"BROOKLYN",94,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1001365.75,200586.484375,40.71723196,-73.9382583399999,"POINT (-73.93825833999995 40.71723196000005)",11211
"39",152876303,"May",8,2016,02:28:00,"BROOKLYN",75,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1017119.4375,183909.34375,40.6714126050001,-73.8815101449999,"POINT (-73.88151014499994 40.67141260500006)",11208
"40",156430716,"September",3,2016,00:35:00,"BRONX",52,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1017440.5,256045.59375,40.869406375,-73.879996507,"POINT (-73.87999650699999 40.86940637500004)",10467
"41",149469595,"January",16,2016,15:15:00,"BROOKLYN",75,0,"MULTI DWELL - APT BUILD",TRUE,NA,NA,NA,"25-44","M","BLACK HISPANIC",1013431.4375,180139.9375,40.6610793520001,-73.8948213479999,"POINT (-73.89482134799994 40.66107935200006)",11207
"42",156822745,"September",16,2016,18:00:00,"QUEENS",103,0,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK",1043624,193543,40.6977166400001,-73.785879042,"POINT (-73.78587904199998 40.69771664000007)",11433
"43",152045226,"April",11,2016,19:38:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",999631.4375,198004.09375,40.7101471,-73.944520572,"POINT (-73.94452057199999 40.71014710000003)",11206
"44",159259635,"December",11,2016,20:29:00,"BRONX",46,0,NA,FALSE,"45-64","M","BLACK","25-44","M","WHITE HISPANIC",1009853.5,247502.5625,40.8459835890001,-73.9074609859999,"POINT (-73.90746098599993 40.84598358900007)",10457
"45",153916054,"June",12,2016,03:40:00,"BROOKLYN",70,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",996682.5625,172472.203125,40.6400724420001,-73.95520426,"POINT (-73.95520425999996 40.640072442000076)",11226
"46",159133830,"December",6,2016,21:17:00,"BRONX",44,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1004861.25,244407.375,40.837501268,-73.925514316,"POINT (-73.92551431599998 40.83750126800004)",10452
"47",156245999,"August",27,2016,21:30:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1005911.875,249926.453125,40.852647,-73.92169963,"POINT (-73.92169962999998 40.85264700000005)",10453
