"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
200056612,"July",19,2019,23:50:00,"BRONX",46,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","18-24","M","BLACK",1008497.1875,248717.015625,40.8493207320001,-73.912358803,"POINT (-73.91235880299996 40.84932073200008)",10453,NA
199483245,"July",5,2019,10:48:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",TRUE,"45-64","M","WHITE HISPANIC","25-44","M","BLACK",1005991.5625,249443.46875,40.8513211550001,-73.921413147,"POINT (-73.92141314699995 40.85132115500005)",10453,NA
198457970,"June",13,2019,16:10:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",997936.625,226909.203125,40.7894871130001,-73.950574938,"POINT (-73.95057493799999 40.789487113000064)",10029,NA
203348701,"October",6,2019,21:54:00,"MANHATTAN",23,0,NA,FALSE,"45-64","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",999210.9375,227548.59375,40.791240004,-73.945971589,"POINT (-73.94597158899995 40.79124000400003)",10029,NA
206032524,"December",4,2019,03:30:00,"QUEENS",110,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE",1015799,208304.46875,40.7383762370001,-73.8861559059999,"POINT (-73.88615590599994 40.73837623700007)",11373,NA
204294841,"October",25,2019,19:43:00,"BRONX",46,0,NA,FALSE,"25-44","M","BLACK","25-44","F","BLACK",1012247.9375,251807,40.85779072,-73.89878864,"POINT (-73.89878863999996 40.857790720000025)",10458,NA
199325324,"July",5,2019,00:10:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1016729.375,184070.25,40.6718556960001,-73.8829155079999,"POINT (-73.88291550799994 40.67185569600009)",11208,NA
204971625,"November",10,2019,14:03:00,"BROOKLYN",63,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1004513.8125,165223.578125,40.6201620470001,-73.927008363,"POINT (-73.92700836299997 40.620162047000065)",11234,NA
203676928,"October",12,2019,06:55:00,"BROOKLYN",77,0,"BAR/NIGHT CLUB",FALSE,"25-44","M","BLACK","45-64","M","BLACK",1003550.0625,185644.921875,40.6762163560001,-73.9304214969999,"POINT (-73.93042149699994 40.676216356000054)",11213,NA
206838693,"December",24,2019,19:07:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1005300.125,182758.6875,40.668290303,-73.924121246,"POINT (-73.92412124599997 40.66829030300005)",11212,NA
202356981,"September",12,2019,01:20:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1004928,181897,40.66592604,-73.925465301,"POINT (-73.92546530099997 40.66592604000005)",11212,NA
206570261,"December",16,2019,19:15:00,"STATEN ISLAND",120,0,NA,TRUE,"18-24","M","BLACK","<18","M","BLACK HISPANIC",954513.875,170534.046875,40.6347114230001,-74.107138477,"POINT (-74.10713847699998 40.634711423000056)",10310,NA
194378288,"March",6,2019,20:29:00,"BROOKLYN",62,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","WHITE",986543.25,157611.984375,40.5992926550001,-73.991743416,"POINT (-73.99174341599996 40.599292655000056)",11214,NA
204338715,"October",28,2019,22:39:00,"BROOKLYN",73,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1006601.8125,185143.796875,40.6748337020001,-73.919421096,"POINT (-73.91942109599995 40.67483370200006)",11233,NA
199401908,"July",5,2019,17:20:00,"BRONX",41,0,"PVT HOUSE",FALSE,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1015346.1875,236366.671875,40.815401149,-73.887660029,"POINT (-73.88766002899996 40.815401149000024)",10474,NA
203980164,"October",18,2019,14:43:00,"MANHATTAN",32,0,"MULTI DWELL - APT BUILD",TRUE,"45-64","F","BLACK","45-64","F","WHITE HISPANIC",1000565.0625,234704.203125,40.810877798,-73.9410639239999,"POINT (-73.94106392399993 40.810877798000035)",10037,NA
205437642,"November",20,2019,23:11:00,"BRONX",44,0,"COMMERCIAL BLDG",TRUE,NA,NA,NA,"25-44","M","BLACK",1007188.1875,243232.9375,40.83427204,-73.917109002,"POINT (-73.91710900199996 40.83427204000003)",10456,NA
