"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
147024011,"October",18,2015,01:33:00,"QUEENS",106,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1038231.3125,184701.421875,40.673483123,-73.805397635,"POINT (-73.80539763499996 40.67348312300004)",11420
144732382,"July",23,2015,00:22:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1001019.875,196399.875,40.705741376,-73.9395164709999,"POINT (-73.93951647099993 40.70574137600005)",11206
143187179,"May",26,2015,00:40:00,"BROOKLYN",76,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",987086.0625,188344.078125,40.6836455120001,-73.9897758279999,"POINT (-73.98977582799995 40.683645512000055)",11201
146877501,"October",12,2015,04:03:00,"MANHATTAN",13,0,NA,FALSE,"25-44","M","BLACK","25-44","F","BLACK",987111.5625,208704.234375,40.739529299,-73.989675236,"POINT (-73.98967523599998 40.739529299000026)",10010
141003371,"February",16,2015,03:13:00,"BRONX",44,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",1005919.875,246410.1875,40.842995869,-73.921682075,"POINT (-73.92168207499998 40.84299586900005)",10452
148704922,"December",18,2015,23:45:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1014379,170330.21875,40.634150639,-73.891449818,"POINT (-73.89144981799996 40.63415063900004)",11236
148087884,"November",25,2015,20:49:00,"BRONX",48,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1015629.9375,246174.4375,40.842319639,-73.886589051,"POINT (-73.88658905099999 40.84231963900004)",10460
145503526,"August",21,2015,00:55:00,"BRONX",43,0,"FAST FOOD",FALSE,"25-44","M","WHITE HISPANIC","18-24","M","BLACK",1021348.625,244477.453125,40.8376397430001,-73.865930164,"POINT (-73.86593016399998 40.83763974300007)",10460
140742620,"January",29,2015,01:53:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1004499.9375,180655.484375,40.662519344,-73.927012027,"POINT (-73.92701202699999 40.66251934400003)",11212
140514050,"January",12,2015,04:49:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",994109,187431,40.681134284,-73.964455485,"POINT (-73.96445548499997 40.68113428400005)",11238
143704604,"June",15,2015,02:50:00,"BROOKLYN",71,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",995295.75,178640.71875,40.6570055220001,-73.9601911409999,"POINT (-73.96019114099994 40.65700552200008)",11225
142169745,"April",15,2015,23:02:00,"QUEENS",100,0,NA,FALSE,"18-24","M","BLACK","18-24","F","BLACK",1036596.6875,154183.953125,40.589729128,-73.811527181,"POINT (-73.81152718099997 40.589729128000045)",11693
145842361,"September",2,2015,23:47:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1015575,182444,40.6673961650001,-73.887084503,"POINT (-73.88708450299998 40.66739616500007)",11207
144448395,"July",13,2015,01:15:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1018527.1875,243129.90625,40.8339525210001,-73.8761334719999,"POINT (-73.87613347199994 40.83395252100007)",10472
143341965,"May",31,2015,21:45:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",1008788.9375,177637.09375,40.65422368,-73.9115636339999,"POINT (-73.91156363399995 40.65422368000003)",11212
143149270,"May",22,2015,13:51:00,"BRONX",52,0,NA,FALSE,"25-44","M","WHITE HISPANIC","18-24","M","UNKNOWN",1014631,253884,40.8634835780001,-73.89016444,"POINT (-73.89016443999998 40.86348357800006)",10458
145559208,"August",22,2015,06:05:00,"BRONX",52,0,"SOCIAL CLUB/POLICY LOCATI",FALSE,NA,NA,NA,"18-24","M","BLACK",1014612.875,255956.703125,40.869172576,-73.890220577,"POINT (-73.89022057699998 40.86917257600004)",10458
142902648,"May",14,2015,14:23:00,"BRONX",46,0,NA,FALSE,"18-24","M","WHITE HISPANIC","65+","M","WHITE HISPANIC",1009429.6875,250363.484375,40.8538371880001,-73.908982055,"POINT (-73.90898205499997 40.85383718800006)",10453
145377565,"August",16,2015,18:48:00,"BROOKLYN",83,0,NA,FALSE,NA,NA,NA,"45-64","M","WHITE HISPANIC",1008106.5625,190882.265625,40.6905805600001,-73.9139760209999,"POINT (-73.91397602099994 40.69058056000006)",11221
143924256,"June",23,2015,15:04:00,"MANHATTAN",32,0,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK",998271.0625,235692.078125,40.8135931780001,-73.949348845,"POINT (-73.94934884499999 40.813593178000076)",10027
