"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
95050736,"February",24,2014,04:20:00,"QUEENS",114,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",1011933.5,216100.609375,40.7597876130001,-73.9000725769999,"POINT (-73.90007257699995 40.75978761300007)",11377
139461038,"October",31,2014,20:05:00,"BROOKLYN",67,0,"BEAUTY/NAIL SALON",FALSE,"18-24","M","BLACK","18-24","M","BLACK",998504.0625,173213.140625,40.642103413,-73.9486394419999,"POINT (-73.94863944199994 40.64210341300003)",11226
109374377,"April",1,2014,23:05:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1024995,266409,40.897819015,-73.852619148,"POINT (-73.85261914799997 40.89781901500004)",10466
94417218,"January",11,2014,09:06:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","25-44","M","BLACK",999875.5625,225983.96875,40.7869443780001,-73.9435750059999,"POINT (-73.94357500599995 40.786944378000044)",10029
94533009,"January",18,2014,04:17:00,"BROOKLYN",70,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",995161.4375,167521.890625,40.626486888,-73.960693201,"POINT (-73.96069320099997 40.626486888000045)",11230
137142207,"June",6,2014,20:36:00,"STATEN ISLAND",121,0,NA,TRUE,"18-24","M","BLACK","45-64","M","BLACK",938430,170972,40.635844911,-74.165090337,"POINT (-74.16509033699998 40.63584491100005)",10303
136486602,"April",7,2014,20:14:00,"BROOKLYN",69,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1016452.125,170414.953125,40.6343759230001,-73.883980171,"POINT (-73.88398017099996 40.63437592300005)",11236
136939485,"May",26,2014,22:48:00,"BROOKLYN",90,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1001048,197387.09375,40.708451005,-73.939412569,"POINT (-73.93941256899996 40.70845100500003)",11206
109584597,"April",15,2014,11:55:00,"BRONX",48,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1016567.0625,250354.09375,40.853788175,-73.8831819819999,"POINT (-73.88318198199994 40.853788175000034)",10458
136393519,"April",22,2014,17:16:00,"BRONX",40,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1007115.375,237714.859375,40.8191266810001,-73.917390932,"POINT (-73.91739093199999 40.81912668100006)",10455
138490903,"September",1,2014,04:30:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",995628.0625,181599.390625,40.6651260030001,-73.958988452,"POINT (-73.95898845199997 40.66512600300007)",11225
140335018,"December",27,2014,22:15:00,"BROOKLYN",77,2,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1003508.375,185056.453125,40.674601233,-73.930573469,"POINT (-73.93057346899997 40.67460123300003)",11213
109548291,"April",12,2014,02:30:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1017036,183890,40.6713598200001,-73.881811023,"POINT (-73.88181102299995 40.67135982000008)",11208
109291973,"March",26,2014,22:35:00,"BRONX",44,0,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1006490,244533,40.8378421210001,-73.9196277519999,"POINT (-73.91962775199994 40.83784212100005)",10452
94424905,"January",10,2014,17:25:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","F","BLACK","<18","M","WHITE HISPANIC",1010491.25,249156.5625,40.8505214570001,-73.9051494509999,"POINT (-73.90514945099994 40.85052145700007)",NA
94424905,"January",10,2014,17:25:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","<18","M","WHITE HISPANIC",1010491.25,249156.5625,40.8505214570001,-73.9051494509999,"POINT (-73.90514945099994 40.85052145700007)",NA
139767955,"November",21,2014,04:26:00,"BROOKLYN",72,0,NA,FALSE,"45-64","M","ASIAN / PACIFIC ISLANDER","25-44","M","ASIAN / PACIFIC ISLANDER",982275.8125,177255.5,40.6532100650001,-74.0071162629999,"POINT (-74.00711626299994 40.65321006500005)",11232
139466570,"November",2,2014,00:48:00,"BROOKLYN",75,0,"GROCERY/BODEGA",FALSE,NA,NA,NA,"25-44","M","BLACK",1012667.8125,183036.9375,40.6690334540001,-73.8975615049999,"POINT (-73.89756150499994 40.66903345400004)",11207
137265418,"June",16,2014,01:09:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",994837.625,184600.1875,40.673363502,-73.961832923,"POINT (-73.96183292299997 40.67336350200003)",11238
136933089,"May",26,2014,01:20:00,"QUEENS",105,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1052772.5,185593.5,40.675831058,-73.7529675169999,"POINT (-73.75296751699995 40.67583105800003)",11413
140302380,"December",23,2014,19:00:00,"BROOKLYN",66,0,"STORE UNCLASSIFIED",FALSE,"18-24","M","WHITE HISPANIC","45-64","M","WHITE",990907.25,166903.296875,40.624793195,-73.9760194369999,"POINT (-73.97601943699993 40.62479319500005)",11230
109340977,"March",28,2014,18:02:00,"STATEN ISLAND",120,0,"PVT HOUSE",TRUE,"65+","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC",962430.375,160693.28125,40.6077236200001,-74.078584129,"POINT (-74.07858412899998 40.60772362000006)",10305
138997051,"October",2,2014,18:40:00,"MANHATTAN",34,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1004098.1875,251509.578125,40.856996468,-73.9282509289999,"POINT (-73.92825092899994 40.856996468000034)",10040
137247992,"June",15,2014,02:20:00,"BRONX",42,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1012513.5,241793.671875,40.8303062360001,-73.897870832,"POINT (-73.89787083199997 40.83030623600007)",10459
136874474,"May",22,2014,00:01:00,"BROOKLYN",69,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1013828.375,175989.9375,40.649687199,-73.893408849,"POINT (-73.89340884899997 40.64968719900003)",11236
139446952,"October",31,2014,04:00:00,"QUEENS",110,0,"BAR/NIGHT CLUB",TRUE,NA,NA,NA,"18-24","F","BLACK HISPANIC",1019164,210169,40.743481264,-73.874003537,"POINT (-73.87400353699996 40.743481264000025)",11373
139495665,"November",4,2014,05:30:00,"BROOKLYN",94,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE",995547,201823,40.720635241,-73.959246735,"POINT (-73.95924673499997 40.720635241000025)",11249
137921718,"July",26,2014,18:50:00,"BROOKLYN",79,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1000869,189183.984375,40.6859357170001,-73.9400784439999,"POINT (-73.94007844399994 40.68593571700006)",11221
94424905,"January",10,2014,17:25:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","<18","M","WHITE HISPANIC",1010491.25,249156.5625,40.8505214570001,-73.9051494509999,"POINT (-73.90514945099994 40.85052145700007)",NA
139160240,"October",13,2014,14:21:00,"BROOKLYN",73,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1007604.9375,188021.453125,40.682729625,-73.915794768,"POINT (-73.91579476799996 40.682729625000036)",11233
139195505,"October",15,2014,17:24:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1016716.6875,249843,40.852384827,-73.8826435949999,"POINT (-73.88264359499993 40.85238482700004)",10460
138554248,"September",5,2014,04:00:00,"BRONX",47,0,"BAR/NIGHT CLUB",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1024046.375,261196.359375,40.8835163090001,-73.856081473,"POINT (-73.85608147299996 40.88351630900007)",10469
137047034,"June",2,2014,23:34:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1014380.375,184565.859375,40.6732243370001,-73.891381268,"POINT (-73.89138126799998 40.67322433700008)",11207
94934292,"February",15,2014,02:30:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK HISPANIC",1029569.0625,256467.0625,40.87050924,-73.836141211,"POINT (-73.83614121099998 40.87050924000005)",10469
137047033,"June",2,2014,21:54:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",998526.5625,185572.5625,40.676027273,-73.948532201,"POINT (-73.94853220099998 40.676027273000045)",11216
139040452,"October",6,2014,04:00:00,"BROOKLYN",63,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1003359.6875,164228.3125,40.617432814,-73.931168498,"POINT (-73.93116849799998 40.61743281400004)",11234
136563286,"May",2,2014,16:50:00,"QUEENS",101,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1052496.375,160256.84375,40.606289766,-73.75421927,"POINT (-73.75421926999996 40.60628976600003)",11691
136761135,"May",15,2014,04:20:00,"QUEENS",101,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","45-64","M","BLACK",1044820.9375,156440.296875,40.595869936,-73.781895654,"POINT (-73.78189565399998 40.59586993600004)",11691
139601977,"November",10,2014,10:49:00,"BRONX",44,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1007174.4375,239542.765625,40.824143613,-73.9171712999999,"POINT (-73.91717129999995 40.82414361300005)",10451
138477082,"August",31,2014,01:54:00,"MANHATTAN",23,2,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK",1000531.3125,229408.125,40.79634158,-73.9411986869999,"POINT (-73.94119868699994 40.796341580000046)",10029
