"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
80541205,"August",31,2011,15:21:00,"BROOKLYN",69,0,"PVT HOUSE",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1007676.1875,170744.078125,40.635306857,-73.915597895,"POINT (-73.91559789499996 40.635306857000046)",11236
74153521,"August",15,2010,04:06:00,"BROOKLYN",63,0,"PVT HOUSE",FALSE,NA,NA,NA,"25-44","F","BLACK",1001307.875,168328.8125,40.6286920160001,-73.938548746,"POINT (-73.93854874599998 40.62869201600006)",11210
84701796,"May",13,2012,02:30:00,"BRONX",46,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1005852.0625,247414.4375,40.8457524070001,-73.9219239289999,"POINT (-73.92192392899995 40.84575240700008)",10453
76663358,"January",1,2011,02:10:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","F","BLACK HISPANIC",1000866.375,226631.578125,40.7887200850001,-73.9399954209999,"POINT (-73.93999542099994 40.78872008500008)",10029
75046976,"October",12,2010,03:51:00,"MANHATTAN",25,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1001577,234452,40.8101836430001,-73.937408991,"POINT (-73.93740899099998 40.81018364300007)",10037
86437258,"August",26,2012,01:05:00,"BRONX",49,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",1022083.6875,251879.25,40.857952353,-73.8632319499999,"POINT (-73.86323194999994 40.85795235300003)",10467
82751862,"January",21,2012,03:45:00,"QUEENS",115,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1013505,215583,40.758361848,-73.8944022059999,"POINT (-73.89440220599994 40.75836184800005)",11370
73308858,"June",21,2010,04:25:00,"QUEENS",113,0,"PVT HOUSE",TRUE,NA,NA,NA,"25-44","M","BLACK",1044301.1875,188323.71875,40.683386387,-73.783483411,"POINT (-73.78348341099996 40.68338638700004)",11434
69948593,"January",18,2010,04:55:00,"BRONX",46,1,NA,FALSE,"UNKNOWN","U","UNKNOWN","25-44","M","WHITE HISPANIC",1011698,251174,40.8560550510001,-73.900779259,"POINT (-73.90077925899999 40.856055051000055)",NA
73017572,"June",2,2010,21:20:00,"BRONX",49,0,"MULTI DWELL - APT BUILD",FALSE,"UNKNOWN","M","ASIAN / PACIFIC ISLANDER","25-44","F","WHITE HISPANIC",1023476.5,248939.59375,40.849877803,-73.8582141159999,"POINT (-73.85821411599994 40.84987780300003)",10462
83243667,"February",18,2012,21:40:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1001204.625,191692.34375,40.6928199500001,-73.938861972,"POINT (-73.93886197199998 40.69281995000006)",11221
85606194,"July",5,2012,03:40:00,"MANHATTAN",7,0,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","WHITE",987323.5625,200564.40625,40.7171873820001,-73.988913931,"POINT (-73.98891393099996 40.71718738200008)",10002
91463279,"July",4,2013,02:58:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",995293.875,176595.140625,40.6513908580001,-73.960201248,"POINT (-73.96020124799998 40.65139085800007)",11226
71908646,"March",25,2010,00:01:00,"QUEENS",114,0,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","F","WHITE HISPANIC","25-44","M","WHITE HISPANIC",998644.3125,214588.15625,40.7556679360001,-73.948045655,"POINT (-73.94804565499999 40.755667936000066)",11101
76691606,"January",3,2011,22:45:00,"BROOKLYN",69,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1011562.625,171922.34375,40.638529813,-73.9015904679999,"POINT (-73.90159046799994 40.63852981300005)",11236
75538350,"November",13,2010,03:55:00,"BRONX",49,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1021639.0625,250223.28125,40.8534091120001,-73.864848512,"POINT (-73.86484851199998 40.853409112000065)",10462
73583032,"July",8,2010,11:49:00,"QUEENS",101,0,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK HISPANIC",1050384.375,155966.890625,40.594530768,-73.761867378,"POINT (-73.76186737799998 40.59453076800003)",11691
77383647,"February",21,2011,00:30:00,"BROOKLYN",73,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","18-24","M","BLACK",1008053,187543,40.681415187,-73.9141809609999,"POINT (-73.91418096099996 40.68141518700003)",11233
86926605,"September",25,2012,21:00:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",995616.3125,176702.921875,40.651686286,-73.959039058,"POINT (-73.95903905799999 40.65168628600003)",11226
71947432,"March",28,2010,21:03:00,"BRONX",48,0,NA,FALSE,"<18","M","WHITE HISPANIC","<18","M","BLACK",1015284.75,250161.609375,40.8532644630001,-73.887818162,"POINT (-73.88781816199997 40.85326446300007)",10458
86537762,"September",1,2012,02:00:00,"BRONX",43,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1018182.0625,239890.71875,40.825063218,-73.877397037,"POINT (-73.877397037 40.825063218000025)",10472
73221474,"June",14,2010,20:40:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","BLACK","25-44","M","BLACK",996581.375,173718.5,40.643493402,-73.955566582,"POINT (-73.95556658199996 40.64349340200005)",11226
78401196,"April",24,2011,22:30:00,"BRONX",43,0,NA,FALSE,"18-24","M","BLACK HISPANIC","25-44","F","BLACK HISPANIC",1020791.5625,241887,40.830532025,-73.867957449,"POINT (-73.86795744899996 40.830532025000025)",10472
83732961,"March",18,2012,05:25:00,"QUEENS",106,0,"PVT HOUSE",TRUE,NA,NA,NA,"25-44","F","BLACK",1038731.3125,184687.4375,40.673441675,-73.803595243,"POINT (-73.80359524299996 40.67344167500005)",11420
90905822,"May",30,2013,18:14:00,"BRONX",42,0,NA,FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",1014997.75,240731.859375,40.827383567,-73.888898829,"POINT (-73.88889882899997 40.82738356700003)",10459
73405393,"June",27,2010,00:40:00,"BROOKLYN",73,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","<18","M","BLACK",1010110,179048,40.6580925480001,-73.906797146,"POINT (-73.90679714599997 40.65809254800007)",11212
90253497,"April",22,2013,20:15:00,"BRONX",42,0,NA,TRUE,"18-24","M","WHITE HISPANIC","<18","M","BLACK",1013629.5,241333.328125,40.8290390830001,-73.893840167,"POINT (-73.89384016699995 40.829039083000055)",10459
82228819,"December",17,2011,14:38:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1000101.5,229680.1875,40.7970890990001,-73.9427503859999,"POINT (-73.94275038599994 40.79708909900006)",10029
79135861,"June",5,2011,03:15:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",999659.8125,235947.578125,40.8142921400001,-73.9443312499999,"POINT (-73.94433124999995 40.81429214000008)",10030
79377985,"June",19,2011,03:33:00,"QUEENS",113,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1050151,195326,40.7025643430001,-73.7623231709999,"POINT (-73.76232317099993 40.70256434300006)",11412
83782601,"March",20,2012,19:55:00,"BROOKLYN",77,0,NA,TRUE,NA,NA,NA,"<18","M","BLACK",1002705,184624,40.673415957,-73.9334708819999,"POINT (-73.93347088199994 40.67341595700003)",11213
71633349,"March",7,2010,01:15:00,"MANHATTAN",23,0,"BAR/NIGHT CLUB",FALSE,NA,NA,NA,"25-44","M","BLACK",1000121.9375,227205.140625,40.790295729,-73.942682421,"POINT (-73.94268242099997 40.790295729000036)",10035
74081464,"August",10,2010,16:41:00,"MANHATTAN",32,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","BLACK","<18","M","BLACK",1001416.4375,239226.640625,40.823289006,-73.9379767999999,"POINT (-73.93797679999994 40.82328900600004)",10039
91532067,"July",9,2013,04:18:00,"BRONX",52,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC",1014994,256309.59375,40.870139834,-73.8888409529999,"POINT (-73.88884095299994 40.87013983400004)",10458
85976979,"July",29,2012,03:15:00,"BRONX",47,0,"BAR/NIGHT CLUB",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1025439.375,258185.21875,40.875245282,-73.8510623399999,"POINT (-73.85106233999994 40.87524528200004)",10469
93081404,"October",14,2013,22:10:00,"BROOKLYN",63,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1005081,168210,40.6283578320001,-73.9249560599999,"POINT (-73.92495605999994 40.62835783200006)",11234
72949717,"May",29,2010,02:30:00,"BRONX",42,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK HISPANIC",1012597,241475,40.8294313050001,-73.89757045,"POINT (-73.89757044999999 40.82943130500007)",10459
75847942,"December",5,2010,14:14:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","18-24","M","BLACK",999024.8125,193414.09375,40.697549662,-73.946718738,"POINT (-73.94671873799996 40.69754966200003)",11206
88272113,"December",24,2012,20:33:00,"BRONX",48,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1013374.1875,246263.875,40.8425728460001,-73.894741317,"POINT (-73.89474131699995 40.84257284600005)",10457
80225510,"August",9,2011,16:20:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1001632,177329,40.6533949700001,-73.9373578679999,"POINT (-73.93735786799994 40.65339497000008)",11203
80879448,"September",25,2011,06:07:00,"STATEN ISLAND",120,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","18-24","M","BLACK",961417.5625,164057.234375,40.616954423,-74.082243115,"POINT (-74.08224311499998 40.61695442300004)",10304
85308637,"June",18,2012,00:40:00,"MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","F","WHITE HISPANIC",991103,202253.5625,40.72182159,-73.9752783339999,"POINT (-73.97527833399994 40.72182159000005)",10009
73620302,"July",11,2010,16:33:00,"BRONX",41,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","18-24","M","BLACK HISPANIC",1013037,236657,40.8162058440001,-73.896001193,"POINT (-73.89600119299996 40.81620584400008)",10459
83858281,"March",25,2012,00:50:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",997843,175671,40.648850747,-73.951016511,"POINT (-73.95101651099998 40.64885074700004)",11226
87455081,"October",27,2012,19:46:00,"BRONX",44,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1008231.0625,242713.875,40.8328445930001,-73.9133421889999,"POINT (-73.91334218899993 40.83284459300006)",10456
93607540,"November",15,2013,22:37:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1027500.375,260415.96875,40.881358133,-73.84359546,"POINT (-73.84359545999996 40.88135813300005)",10466
72949714,"May",28,2010,22:37:00,"QUEENS",114,0,NA,FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",1008825.6875,222819.4375,40.7782382280001,-73.911266245,"POINT (-73.91126624499998 40.77823822800008)",11105
91833289,"July",27,2013,00:10:00,"BRONX",40,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"UNKNOWN","M","UNKNOWN","25-44","M","WHITE HISPANIC",1006059,235912,40.81418101,-73.9212133739999,"POINT (-73.92121337399993 40.81418101000003)",10451
80742844,"September",15,2011,19:36:00,"QUEENS",105,0,NA,FALSE,"UNKNOWN","M","BLACK","18-24","M","WHITE HISPANIC",1047047,181713,40.6652224540001,-73.7736448599999,"POINT (-73.77364485999993 40.66522245400006)",11434
74666625,"September",17,2010,20:53:00,"BRONX",52,0,NA,FALSE,"<18","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",1016551.75,260706.265625,40.8822017700001,-73.883187433,"POINT (-73.88318743299999 40.88220177000005)",10467
85744761,"July",15,2012,03:00:00,"BRONX",49,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",1021010.8125,245958.046875,40.8417049510001,-73.867142872,"POINT (-73.86714287199999 40.841704951000054)",10460
74036603,"August",7,2010,02:20:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1013796.625,247765.9375,40.8466941620001,-73.893207934,"POINT (-73.89320793399997 40.84669416200006)",10457
93509178,"November",9,2013,05:20:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",1007465,177970,40.6551410050001,-73.916333927,"POINT (-73.91633392699998 40.655141005000075)",11212
70876133,"January",23,2010,23:59:00,"BRONX",47,0,NA,FALSE,"18-24","M","UNKNOWN","25-44","M","BLACK HISPANIC",1024149,259500,40.8788598740001,-73.855720445,"POINT (-73.85572044499997 40.87885987400006)",10469
88547669,"January",13,2013,03:25:00,"BROOKLYN",67,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1002985,170612,40.6349554940001,-73.932500401,"POINT (-73.93250040099997 40.63495549400005)",11203
72627098,"May",7,2010,00:11:00,"QUEENS",100,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1036573,154459,40.5904842140001,-73.811610338,"POINT (-73.81161033799998 40.59048421400007)",11693
