"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"1",211362213,"March",20,2020,21:27:00,"BROOKLYN",81,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1001586.375,189839.03125,40.6877322940001,-73.937490125,"POINT (-73.93749012499995 40.68773229400006)",11221
"2",214693508,"June",27,2020,00:35:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1012270.375,172117.640625,40.63906365,-73.8990395439999,"POINT (-73.89903954399995 40.639063650000026)",11236
"3",220002827,"November",1,2020,01:40:00,"BRONX",49,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1021917.375,251014.53125,40.8555796730001,-73.8638380309999,"POINT (-73.86383803099994 40.85557967300008)",10462
"4",216103884,"August",3,2020,00:13:00,"BROOKLYN",73,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1009059.5625,180294.46875,40.661516835,-73.910578532,"POINT (-73.91057853199999 40.66151683500004)",11212
"5",216560785,"August",13,2020,03:50:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1012716,250857,40.8551817580001,-73.897100624,"POINT (-73.89710062399996 40.85518175800007)",10457
"6",217705090,"September",5,2020,02:59:00,"BRONX",46,0,NA,FALSE,"18-24","M","BLACK HISPANIC","18-24","F","BLACK HISPANIC",1007142.4375,249097.015625,40.850367336,-73.9172543129999,"POINT (-73.91725431299994 40.85036733600003)",10453
"7",217262878,"September",1,2020,01:35:00,"BRONX",48,0,NA,TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1014742.3125,246600.25,40.8434914790001,-73.8897951389999,"POINT (-73.88979513899994 40.84349147900008)",10460
"8",215768197,"July",26,2020,02:50:00,"BRONX",49,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1020085.5625,254810.203125,40.8660052650001,-73.870439529,"POINT (-73.87043952899995 40.86600526500007)",10467
"9",210337523,"February",28,2020,19:00:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1038951.375,195977.703125,40.7044294300001,-73.802710249,"POINT (-73.80271024899997 40.70442943000006)",11432
"10",216360327,"August",9,2020,03:24:00,"QUEENS",114,0,NA,TRUE,NA,NA,NA,"18-24","M","WHITE",999778.75,214952.625,40.7566663910001,-73.9439500999999,"POINT (-73.94395009999994 40.75666639100007)",11101
"11",214693798,"June",27,2020,04:00:00,"MANHATTAN",25,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK",1002864.5,230116,40.798279898,-73.932770019,"POINT (-73.93277001899997 40.79827989800003)",10035
"12",211772774,"April",6,2020,02:00:00,"BROOKLYN",79,0,"PVT HOUSE",TRUE,"<18","M","BLACK","45-64","M","BLACK",998042.9375,191486.015625,40.692259119,-73.9502636399999,"POINT (-73.95026363999995 40.69225911900003)",11206
"13",218394942,"September",27,2020,00:24:00,"MANHATTAN",32,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1001751.5625,241629.453125,40.829883383,-73.936759681,"POINT (-73.93675968099996 40.829883383000045)",10039
"14",212823697,"May",7,2020,14:32:00,"BRONX",44,0,NA,FALSE,"18-24","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",1007137.875,245059.671875,40.8392860270001,-73.917284584,"POINT (-73.91728458399996 40.83928602700007)",10452
"15",216059133,"August",2,2020,03:35:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",995770.9375,175895.046875,40.6494686450001,-73.9584831939999,"POINT (-73.95848319399994 40.64946864500007)",11226
"16",212558134,"April",30,2020,23:36:00,"QUEENS",101,0,"GROCERY/BODEGA",FALSE,NA,NA,NA,"25-44","M","BLACK",1044122,155673.34375,40.5937695590001,-73.784419197,"POINT (-73.78441919699998 40.593769559000066)",11691
"17",220122285,"November",4,2020,16:50:00,"MANHATTAN",25,0,NA,FALSE,"25-44","M","ASIAN / PACIFIC ISLANDER","18-24","M","BLACK",999656,230985,40.8006712420001,-73.94435641,"POINT (-73.94435640999995 40.80067124200008)",10035
"18",217775147,"September",12,2020,16:30:00,"QUEENS",105,0,"PVT HOUSE",FALSE,NA,NA,NA,"45-64","M","BLACK",1055674.125,196968.921875,40.707030902,-73.742386177,"POINT (-73.74238617699996 40.70703090200004)",11429
